epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.4016,1.73451,6.17803,1.79372,0.83531,0.23267,0.26359,0.13073,2.07343,6.67381,2.22571,0.000330789,0.000330789,0.0672519
2,164.826,1.64296,5.05557,1.71154,0.49635,0.35004,0.32229,0.15172,2.06606,6.74139,2.23286,0.000663473,0.000663473,0.0342513
3,246.352,1.59411,4.84776,1.69092,0.43601,0.38648,0.41742,0.22249,1.76636,5.50793,1.9264,0.000993562,0.000993562,0.00124802
4,330.174,1.55068,4.61214,1.64868,0.57428,0.44011,0.47731,0.26185,1.69034,4.40295,1.84151,0.000991232,0.000991232,0.000991232
5,412.444,1.5295,4.40135,1.62808,0.64746,0.48356,0.53003,0.30359,1.52126,4.2334,1.69448,0.000984449,0.000984449,0.000984449
6,494.472,1.46749,4.12126,1.57509,0.76681,0.458,0.50732,0.29901,1.55581,4.41489,1.69588,0.000975773,0.000975773,0.000975773
7,572.903,1.41133,3.90718,1.52363,0.70341,0.59936,0.64284,0.34743,1.40746,3.65468,1.55024,0.000965239,0.000965239,0.000965239
8,654.042,1.3712,3.75922,1.50577,0.57634,0.6486,0.63599,0.3462,1.40552,3.67968,1.56974,0.000952889,0.000952889,0.000952889
9,732.048,1.33905,3.62398,1.47967,0.65038,0.6191,0.65645,0.38596,1.36581,3.39407,1.53013,0.000938772,0.000938772,0.000938772
10,816.877,1.32848,3.5203,1.47734,0.59382,0.67612,0.67492,0.40309,1.34903,3.17416,1.52882,0.000922942,0.000922942,0.000922942
11,906.411,1.29457,3.41296,1.45702,0.72677,0.65095,0.7193,0.43238,1.30899,3.05917,1.49847,0.000905463,0.000905463,0.000905463
12,995.95,1.25522,3.26742,1.43056,0.71139,0.67862,0.73577,0.46043,1.26491,2.81245,1.44786,0.000886404,0.000886404,0.000886404
13,1076.28,1.2437,3.24965,1.42898,0.72251,0.68925,0.72059,0.46054,1.21969,2.97297,1.41977,0.000865839,0.000865839,0.000865839
14,1155.56,1.22021,3.08878,1.39749,0.75309,0.69575,0.76007,0.47243,1.21301,2.80757,1.41544,0.000843851,0.000843851,0.000843851
15,1237.2,1.20775,3.0737,1.3943,0.69791,0.67772,0.73703,0.46069,1.27183,2.77837,1.49442,0.000820525,0.000820525,0.000820525
16,1318.85,1.22356,3.08729,1.41359,0.76006,0.70172,0.75053,0.47606,1.24077,2.73494,1.46103,0.000795954,0.000795954,0.000795954
17,1398.27,1.1823,2.96609,1.38228,0.71819,0.72531,0.76317,0.49386,1.17865,2.68257,1.39471,0.000770234,0.000770234,0.000770234
18,1483.44,1.13307,2.84707,1.35214,0.72828,0.73705,0.78353,0.50511,1.16946,2.5391,1.38518,0.000743468,0.000743468,0.000743468
19,1574.33,1.15279,2.84965,1.35631,0.70483,0.75119,0.77739,0.51119,1.1449,2.56265,1.36611,0.000715761,0.000715761,0.000715761
20,1661.3,1.12165,2.76206,1.33448,0.77404,0.75938,0.80916,0.52052,1.13196,2.46661,1.36774,0.000687222,0.000687222,0.000687222
21,1747.43,1.09359,2.69639,1.31907,0.76408,0.77849,0.79897,0.53945,1.10126,2.34328,1.32431,0.000657963,0.000657963,0.000657963
22,1850.32,1.0903,2.70064,1.32597,0.7694,0.75471,0.81155,0.54566,1.08554,2.29586,1.32634,0.000628101,0.000628101,0.000628101
23,1962.65,1.0746,2.60541,1.30747,0.76227,0.77371,0.80385,0.54362,1.08646,2.37828,1.32523,0.000597754,0.000597754,0.000597754
24,2050.4,1.04963,2.56328,1.29346,0.78443,0.78648,0.82686,0.56047,1.06188,2.27211,1.31417,0.00056704,0.00056704,0.00056704
25,2141.32,1.02429,2.44186,1.27761,0.81111,0.78842,0.84135,0.58365,1.04679,2.14886,1.30428,0.000536081,0.000536081,0.000536081
26,2233.24,1.01823,2.37235,1.27752,0.78091,0.78463,0.82393,0.56624,1.01697,2.16307,1.29413,0.000505,0.000505,0.000505
27,2314.89,1.01539,2.39908,1.27869,0.81369,0.77322,0.84441,0.59193,1.03291,2.09615,1.28917,0.000473919,0.000473919,0.000473919
28,2412.77,0.98851,2.29448,1.25651,0.80509,0.78268,0.84386,0.60277,0.99288,2.08244,1.25779,0.00044296,0.00044296,0.00044296
29,2517.92,0.97523,2.26508,1.24769,0.83453,0.77994,0.84124,0.59748,0.97806,2.03578,1.24421,0.000412246,0.000412246,0.000412246
30,2601.56,0.96514,2.20887,1.24612,0.8015,0.82069,0.86139,0.63206,0.95544,1.93318,1.23898,0.000381899,0.000381899,0.000381899
31,2687,0.96086,2.21718,1.2396,0.8417,0.81267,0.85922,0.61687,0.95392,1.97314,1.22306,0.000352037,0.000352037,0.000352037
32,2800.46,0.92021,2.12734,1.22038,0.82761,0.81075,0.86151,0.62314,0.95114,1.91714,1.23681,0.000322778,0.000322778,0.000322778
33,2879.17,0.9263,2.13297,1.22265,0.85457,0.80309,0.86492,0.62035,0.92757,1.90231,1.2088,0.000294239,0.000294239,0.000294239
34,2961.77,0.89656,2.04432,1.20262,0.83489,0.83215,0.87002,0.6366,0.90954,1.82531,1.20173,0.000266532,0.000266532,0.000266532
35,3048.81,0.88443,2.01352,1.19902,0.82123,0.83559,0.87202,0.64419,0.90024,1.81395,1.18706,0.000239766,0.000239766,0.000239766
36,3143.96,0.85535,1.93994,1.17224,0.8458,0.82954,0.87955,0.64793,0.88856,1.82293,1.16845,0.000214046,0.000214046,0.000214046
37,3234.5,0.86278,1.92723,1.17963,0.85887,0.83752,0.87963,0.66067,0.87229,1.76519,1.17435,0.000189475,0.000189475,0.000189475
38,3340.34,0.83875,1.85199,1.16702,0.84899,0.83905,0.87836,0.6599,0.86674,1.76461,1.16602,0.000166149,0.000166149,0.000166149
39,3420.96,0.84254,1.87031,1.16883,0.84669,0.84428,0.88508,0.66851,0.85037,1.73615,1.15233,0.000144161,0.000144161,0.000144161
40,3511.76,0.83285,1.83495,1.16714,0.85129,0.85316,0.89178,0.67682,0.83415,1.69653,1.14606,0.000123596,0.000123596,0.000123596
41,3616.93,0.73796,1.33939,1.1217,0.86039,0.84377,0.88828,0.67436,0.83669,1.71303,1.1416,0.000104537,0.000104537,0.000104537
42,3695.63,0.71251,1.25941,1.10186,0.8551,0.85062,0.8928,0.67613,0.83196,1.69574,1.14164,8.70577e-05,8.70577e-05,8.70577e-05
43,3788.58,0.70152,1.24461,1.10084,0.85297,0.86169,0.89054,0.6762,0.82466,1.68392,1.14225,7.12282e-05,7.12282e-05,7.12282e-05
44,3891.94,0.68508,1.1926,1.08895,0.85592,0.86376,0.89455,0.68308,0.81613,1.65249,1.13525,5.71106e-05,5.71106e-05,5.71106e-05
