epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2663,1.78669,7.18795,1.78085,0.65496,0.15877,0.15514,0.0698,1.83655,7.12958,1.88732,0.000330789,0.000330789,0.0672519
2,94.783,1.6579,5.41835,1.65512,0.52237,0.36515,0.40009,0.20958,1.65887,4.82091,1.7187,0.000663473,0.000663473,0.0342513
3,139.245,1.57423,4.97026,1.61451,0.51659,0.37655,0.36286,0.17919,1.83428,5.23043,1.84641,0.000993562,0.000993562,0.00124802
4,185.204,1.53372,4.64585,1.57022,0.4813,0.49529,0.46312,0.24672,1.58315,4.37352,1.6574,0.000991232,0.000991232,0.000991232
5,230.315,1.50246,4.42532,1.55403,0.46269,0.50081,0.49568,0.25528,1.6315,4.24792,1.64122,0.000984449,0.000984449,0.000984449
6,275.102,1.46179,4.15881,1.51213,0.52884,0.54531,0.5441,0.29179,1.53335,3.86641,1.58655,0.000975773,0.000975773,0.000975773
7,320.29,1.44007,4.03719,1.49142,0.6084,0.52842,0.52757,0.28612,1.54255,4.079,1.57324,0.000965239,0.000965239,0.000965239
8,365.394,1.39747,3.90295,1.46737,0.5756,0.58179,0.5971,0.32259,1.43264,3.57209,1.51115,0.000952889,0.000952889,0.000952889
9,409.492,1.37735,3.79079,1.44579,0.62981,0.65604,0.65332,0.36134,1.39236,3.48605,1.49652,0.000938772,0.000938772,0.000938772
10,453.343,1.36055,3.67538,1.44354,0.63787,0.58853,0.62997,0.35616,1.3566,3.31146,1.48885,0.000922942,0.000922942,0.000922942
11,497.339,1.34485,3.61491,1.43547,0.7589,0.56999,0.6591,0.37798,1.32737,3.31332,1.45856,0.000905463,0.000905463,0.000905463
12,542.012,1.32517,3.56735,1.4161,0.66338,0.63818,0.69827,0.41289,1.27794,3.14591,1.38601,0.000886404,0.000886404,0.000886404
13,588.335,1.29819,3.45154,1.40969,0.68023,0.67817,0.70424,0.42955,1.31021,3.13107,1.4342,0.000865839,0.000865839,0.000865839
14,632.997,1.28813,3.39198,1.39424,0.65175,0.64546,0.68454,0.41665,1.29943,3.22602,1.39453,0.000843851,0.000843851,0.000843851
15,677.907,1.27186,3.34331,1.37748,0.72664,0.62235,0.69435,0.41744,1.34562,3.3731,1.44145,0.000820525,0.000820525,0.000820525
16,722.475,1.28967,3.34061,1.38716,0.70494,0.67225,0.73272,0.43653,1.32448,3.05064,1.4162,0.000795954,0.000795954,0.000795954
17,767.256,1.24006,3.23301,1.35705,0.71566,0.66818,0.72872,0.44793,1.21397,2.92782,1.3503,0.000770234,0.000770234,0.000770234
18,811.788,1.2074,3.13329,1.343,0.74589,0.64447,0.72503,0.44639,1.24327,3.03344,1.37975,0.000743468,0.000743468,0.000743468
19,856.75,1.22194,3.13449,1.3484,0.69044,0.71459,0.75299,0.47011,1.21202,2.80435,1.3412,0.000715761,0.000715761,0.000715761
20,901.637,1.20139,3.03916,1.332,0.7906,0.69091,0.78163,0.49506,1.19087,2.66449,1.33946,0.000687222,0.000687222,0.000687222
21,947.358,1.17837,2.97985,1.32099,0.71192,0.71114,0.77128,0.494,1.18244,2.66488,1.31167,0.000657963,0.000657963,0.000657963
22,992.78,1.18858,3.02231,1.33711,0.68087,0.75161,0.77374,0.48498,1.18198,2.64276,1.32115,0.000628101,0.000628101,0.000628101
23,1036.66,1.16365,2.89694,1.30672,0.79983,0.6927,0.77683,0.51214,1.14314,2.55966,1.28091,0.000597754,0.000597754,0.000597754
24,1081.45,1.14346,2.90413,1.3051,0.75747,0.72076,0.77568,0.49975,1.15508,2.59159,1.30383,0.00056704,0.00056704,0.00056704
25,1126.44,1.13233,2.7751,1.3011,0.75284,0.73038,0.78572,0.51349,1.13226,2.47938,1.28309,0.000536081,0.000536081,0.000536081
26,1171.25,1.10228,2.69092,1.27712,0.76511,0.72578,0.78784,0.50493,1.10702,2.42268,1.274,0.000505,0.000505,0.000505
27,1216.09,1.10719,2.72874,1.28366,0.83196,0.69124,0.80524,0.53921,1.089,2.37252,1.25561,0.000473919,0.000473919,0.000473919
28,1260.47,1.07927,2.60489,1.26409,0.73703,0.73491,0.80154,0.53857,1.1016,2.4261,1.26113,0.00044296,0.00044296,0.00044296
29,1305.53,1.07857,2.61914,1.25933,0.75413,0.75386,0.81876,0.54187,1.0694,2.30763,1.23001,0.000412246,0.000412246,0.000412246
30,1351.52,1.0723,2.61004,1.2632,0.81269,0.6972,0.81199,0.53628,1.07694,2.32817,1.24759,0.000381899,0.000381899,0.000381899
31,1396.84,1.07084,2.57557,1.25517,0.74095,0.82008,0.8332,0.57069,1.04146,2.17532,1.21772,0.000352037,0.000352037,0.000352037
32,1441.82,1.03328,2.52653,1.23681,0.79549,0.77205,0.83293,0.56899,1.04417,2.19483,1.2183,0.000322778,0.000322778,0.000322778
33,1487.28,1.05218,2.50725,1.24713,0.82642,0.73297,0.82561,0.56139,1.03021,2.22921,1.21186,0.000294239,0.000294239,0.000294239
34,1532.16,1.0292,2.44047,1.22437,0.80853,0.79077,0.85193,0.57829,1.02845,2.11245,1.2149,0.000266532,0.000266532,0.000266532
35,1576.27,1.02504,2.44095,1.23655,0.80198,0.77716,0.82784,0.57498,1.02343,2.12244,1.20956,0.000239766,0.000239766,0.000239766
36,1620.48,0.99478,2.35575,1.21428,0.78804,0.79806,0.8467,0.58438,1.02498,2.0934,1.20882,0.000214046,0.000214046,0.000214046
37,1665.04,0.99823,2.37772,1.21778,0.82044,0.7753,0.84628,0.59394,1.00525,2.06279,1.19237,0.000189475,0.000189475,0.000189475
38,1710.92,0.98814,2.29614,1.21027,0.86304,0.78222,0.85165,0.58433,1.00916,2.05837,1.19101,0.000166149,0.000166149,0.000166149
39,1756.34,0.99358,2.33888,1.21355,0.84833,0.78589,0.85959,0.59437,0.98854,2.01831,1.18415,0.000144161,0.000144161,0.000144161
40,1801.41,0.97785,2.31086,1.21018,0.80948,0.7907,0.85544,0.60121,0.97802,1.99721,1.17645,0.000123596,0.000123596,0.000123596
41,1844.69,0.8943,1.77683,1.18819,0.82274,0.79904,0.85434,0.59698,0.98378,2.01869,1.18352,0.000104537,0.000104537,0.000104537
42,1885.59,0.86243,1.65114,1.16723,0.82529,0.80924,0.86569,0.6058,0.95929,1.96522,1.16923,8.70577e-05,8.70577e-05,8.70577e-05
43,1926.66,0.8625,1.64462,1.16923,0.81105,0.82486,0.86729,0.61104,0.95922,1.94126,1.16928,7.12282e-05,7.12282e-05,7.12282e-05
44,1966.6,0.83971,1.61071,1.1511,0.80755,0.83921,0.86789,0.61161,0.94736,1.91849,1.1709,5.71106e-05,5.71106e-05,5.71106e-05
45,2006.65,0.83737,1.59054,1.15672,0.81265,0.83322,0.86536,0.61505,0.94486,1.92025,1.16371,4.47606e-05,4.47606e-05,4.47606e-05
46,2047.48,0.83191,1.56784,1.15048,0.8145,0.83671,0.86707,0.61877,0.94543,1.90433,1.16292,3.4227e-05,3.4227e-05,3.4227e-05
47,2088.41,0.82224,1.53834,1.14673,0.82744,0.82325,0.87128,0.62116,0.93812,1.89015,1.16136,2.55513e-05,2.55513e-05,2.55513e-05
48,2129.27,0.82351,1.54626,1.14458,0.83092,0.82911,0.87182,0.62561,0.93667,1.8797,1.15811,1.87678e-05,1.87678e-05,1.87678e-05
49,2169.16,0.81257,1.53399,1.14276,0.84111,0.82032,0.8728,0.62483,0.93538,1.86621,1.15798,1.39032e-05,1.39032e-05,1.39032e-05
50,2209.19,0.81293,1.53512,1.1423,0.83325,0.81845,0.87356,0.62581,0.93228,1.8729,1.15757,1.09768e-05,1.09768e-05,1.09768e-05
