epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4767,1.79259,6.42293,1.79123,0.53842,0.32771,0.31854,0.14812,1.78186,5.62845,1.81119,0.000330789,0.000330789,0.0672519
2,103.933,1.61467,4.88893,1.6252,0.40827,0.50959,0.4385,0.20604,1.80129,5.48955,1.8239,0.000663473,0.000663473,0.0342513
3,153.695,1.55678,4.6158,1.59737,0.53725,0.36036,0.46115,0.23784,1.70302,5.00038,1.72058,0.000993562,0.000993562,0.00124802
4,203.854,1.52003,4.39561,1.55738,0.51811,0.54199,0.53283,0.28311,1.59261,4.2873,1.63768,0.000991232,0.000991232,0.000991232
5,252.061,1.49198,4.21307,1.53669,0.5436,0.55032,0.52979,0.30183,1.48468,3.84669,1.52942,0.000984449,0.000984449,0.000984449
6,302.273,1.44617,3.94466,1.50163,0.61563,0.57373,0.60167,0.33178,1.46762,3.90667,1.56792,0.000975773,0.000975773,0.000975773
7,351.123,1.40734,3.81541,1.47192,0.6346,0.63774,0.65665,0.38008,1.4439,3.49137,1.50093,0.000965239,0.000965239,0.000965239
8,401.257,1.35886,3.67536,1.43989,0.67048,0.60958,0.66582,0.38301,1.39088,3.43848,1.47586,0.000952889,0.000952889,0.000952889
9,449.974,1.32938,3.51121,1.41899,0.5915,0.66404,0.66929,0.39842,1.34344,3.2437,1.42391,0.000938772,0.000938772,0.000938772
10,498.537,1.31894,3.4819,1.41417,0.67993,0.66614,0.69257,0.4223,1.32253,3.05274,1.40012,0.000922942,0.000922942,0.000922942
11,548.703,1.28801,3.33546,1.39268,0.74563,0.64439,0.72768,0.45954,1.26795,2.87133,1.36952,0.000905463,0.000905463,0.000905463
12,598.207,1.25849,3.27257,1.36881,0.74783,0.67435,0.73499,0.43733,1.3196,2.95694,1.39455,0.000886404,0.000886404,0.000886404
