epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,311.735,2.27818,3.47349,2.36742,0.21175,0.08304,0.0553,0.0177,2.31718,4.6203,2.48632,0.070029,0.00333011,0.00333011
2,602.694,2.127,3.23338,2.26505,0.55563,0.19701,0.07584,0.03399,2.09413,3.66792,2.36124,0.0399631,0.00659747,0.00659747
3,894.507,2.03918,2.97709,2.14205,0.63844,0.17457,0.18745,0.07674,2.06828,2.8426,2.25748,0.00983111,0.00979884,0.00979884
4,1186.63,1.99255,2.88782,2.11732,0.56444,0.23762,0.19931,0.09554,1.91723,2.70303,2.17066,0.009703,0.009703,0.009703
5,1477.75,1.92809,2.75234,2.06148,0.46752,0.35984,0.17123,0.07215,2.04093,3.17125,2.19669,0.009604,0.009604,0.009604
6,1768.98,1.90066,2.61681,1.99933,0.577,0.30885,0.25109,0.115,1.8595,2.60239,2.04938,0.009505,0.009505,0.009505
7,2060.68,1.84312,2.48484,1.94418,0.62348,0.31557,0.33119,0.16787,1.81941,2.32055,1.98286,0.009406,0.009406,0.009406
8,2353.05,1.83145,2.42407,1.93988,0.6177,0.3611,0.32853,0.14801,1.81385,2.16153,2.00343,0.009307,0.009307,0.009307
9,2647.94,1.80616,2.37864,1.91429,0.5311,0.32514,0.34458,0.16993,1.74852,2.03767,1.94923,0.009208,0.009208,0.009208
10,2943.55,1.77481,2.31905,1.89458,0.58716,0.42806,0.39094,0.19823,1.74925,2.24001,1.94168,0.009109,0.009109,0.009109
11,3243.29,1.73876,2.22465,1.86428,0.6218,0.41292,0.41166,0.21584,1.69766,1.87851,1.89372,0.00901,0.00901,0.00901
12,3554.12,1.7087,2.15257,1.8406,0.56398,0.50287,0.47629,0.25054,1.7371,1.883,1.88771,0.008911,0.008911,0.008911
13,3875.89,1.69259,2.08408,1.80458,0.59639,0.39713,0.39044,0.20042,1.69454,1.91936,1.9344,0.008812,0.008812,0.008812
14,4187.7,1.65359,2.07708,1.79052,0.48179,0.4624,0.43353,0.24519,1.66998,1.83855,1.86461,0.008713,0.008713,0.008713
15,4537.75,1.64928,2.04868,1.77075,0.60994,0.50299,0.48944,0.26336,1.64455,1.76512,1.81408,0.008614,0.008614,0.008614
16,4830.13,1.62824,1.99955,1.74459,0.65668,0.44059,0.46861,0.26765,1.59298,1.77192,1.78641,0.008515,0.008515,0.008515
17,5125.74,1.62278,1.95276,1.74127,0.66001,0.46594,0.50415,0.28851,1.59953,1.71896,1.76816,0.008416,0.008416,0.008416
18,5423.29,1.61143,1.92084,1.72795,0.70779,0.46428,0.49628,0.28133,1.53131,1.5947,1.70911,0.008317,0.008317,0.008317
19,5722.61,1.60414,1.87926,1.72308,0.51911,0.49527,0.4733,0.28098,1.62294,1.69848,1.7795,0.008218,0.008218,0.008218
20,6021.14,1.56704,1.82782,1.69194,0.73481,0.50282,0.54058,0.31658,1.50954,1.5342,1.69375,0.008119,0.008119,0.008119
21,6322.46,1.51937,1.77393,1.65835,0.73675,0.52785,0.55309,0.32818,1.53816,1.50528,1.72356,0.00802,0.00802,0.00802
22,6625.66,1.52361,1.77706,1.65626,0.65858,0.52625,0.56251,0.32455,1.50247,1.58637,1.66551,0.007921,0.007921,0.007921
23,6926.92,1.50545,1.74858,1.64469,0.69009,0.54938,0.53422,0.32025,1.51786,1.49942,1.69957,0.007822,0.007822,0.007822
24,7226,1.48123,1.70659,1.62344,0.49398,0.54891,0.54311,0.3368,1.48862,1.4208,1.65897,0.007723,0.007723,0.007723
25,7527.89,1.47904,1.69674,1.62109,0.54145,0.5569,0.55325,0.33679,1.48109,1.4685,1.67262,0.007624,0.007624,0.007624
26,7827.54,1.4939,1.69386,1.61836,0.7351,0.50152,0.5582,0.35566,1.42612,1.39118,1.63655,0.007525,0.007525,0.007525
27,8127.95,1.44373,1.6161,1.59079,0.68452,0.58718,0.56846,0.35593,1.4197,1.38289,1.60835,0.007426,0.007426,0.007426
28,8427.68,1.44136,1.62598,1.58956,0.75092,0.50721,0.58183,0.36356,1.41508,1.37925,1.60901,0.007327,0.007327,0.007327
29,8728.07,1.39912,1.57994,1.55325,0.7743,0.5249,0.60527,0.38024,1.39133,1.33797,1.58463,0.007228,0.007228,0.007228
30,9027.72,1.39907,1.57188,1.5503,0.77584,0.48994,0.60144,0.38182,1.38392,1.34681,1.57554,0.007129,0.007129,0.007129
31,9327.76,1.38607,1.50885,1.53885,0.75914,0.54136,0.60711,0.3802,1.39927,1.3557,1.61208,0.00703,0.00703,0.00703
32,9627.95,1.36555,1.50554,1.52378,0.63625,0.58229,0.63895,0.41376,1.37022,1.22527,1.59872,0.006931,0.006931,0.006931
